ColorID,Sex
AGUI,F
AOUI,M
ARUW,F
COUY,F
GIUO,M
GRUY,F
GWUA,M
GYUE,M
IFUN,M
INUW,F
IOUY,F
LWYU,M
LYAU,M
OAUF,M
OAUY,F
OIGU,F
OIUW,M
OWUI,M
RAUW,F
RCUN,M
RGUY,M
RIUG,F
RWUA,F
RYSU,M
RYWU,U
UROY,M
WFUN,F
WIUA,M
WIUR,M
WYUI,M
WYUR,F
XXUO,M
YGUI,F
YILU,M
YIUR,M
YMIU,F
YNUW,M
YWUI,M
